Resource,Tika Format,Tika Format - no ext,Fidget Format,Fidget Format - no ext
"office/readme.md","text/plain","text/plain","text/plain","text/plain"
"office/spreadsheet/wk1/KSBASE.WK1","application/x-123","application/x-123","application/x-123","application/x-123"
"office/spreadsheet/wk1/PEYNEVAL.WK1","application/x-123","application/x-123","application/x-123","application/x-123"
"office/spreadsheet/wk1/PF.WK1","application/x-123","application/x-123","application/x-123","application/x-123"
"office/spreadsheet/wk1/PFVALUES.WK1","application/x-123","application/x-123","application/x-123","application/x-123"
"office/spreadsheet/wk1/readme.md","text/plain","text/plain","text/plain","text/plain"
"office/spreadsheet/wk3/PEYTREND.WK3","application/x-123","application/x-123","application/x-123","application/x-123"
"office/spreadsheet/wk3/readme.md","text/plain","text/plain","text/plain","text/plain"
"office/spreadsheet/wq1/KSBASE.WQ1","application/x-123","application/x-123","application/x-123","application/x-123"
"office/spreadsheet/wq1/readme.md","text/plain","text/plain","text/plain","text/plain"
"office/spreadsheet/wq2/KS4000.WQ2","application/x-123","application/x-123","application/x-123","application/x-123"
"office/spreadsheet/wq2/KS4001.WQ2","application/x-123","application/x-123","application/x-123","application/x-123"
"office/spreadsheet/wq2/KSBASE.WQ2","application/x-123","application/x-123","application/x-123","application/x-123"
"office/spreadsheet/wq2/readme.md","text/plain","text/plain","text/plain","text/plain"
"office/spreadsheet/xls/MonteCarlo.xls","application/vnd.ms-excel","application/x-tika-msoffice","application/vnd.ms-excel","application/x-tika-msoffice"
"office/spreadsheet/xls/readme.md","text/plain","text/plain","text/plain","text/plain"
"office/spreadsheet/xls/valid.xls","application/vnd.ms-excel","application/vnd.ms-excel","application/vnd.ms-excel","application/vnd.ms-excel"
"office/wordprocessing/wpd/readme.md","text/plain","text/plain","text/plain","text/plain"
"office/wordprocessing/wpd/TOPOPREC.WPD","application/vnd.wordperfect","application/octet-stream","application/vnd.wordperfect","application/octet-stream"
"office-examples/LibreOffice%203.5.0rc3%20OSX/index.md","text/plain","text/plain","text/plain","text/plain"
"office-examples/LibreOffice%203.5.0rc3%20OSX/simple.odt","application/vnd.oasis.opendocument.text","application/vnd.oasis.opendocument.text","application/vnd.oasis.opendocument.text","application/vnd.oasis.opendocument.text"
"office-examples/LibreOffice%203.5.0rc3%20OSX/simple.odt.md","text/plain","text/plain","text/plain","text/plain"
"office-examples/LibreOffice%203.5.0rc3%20OSX/simple.pdf","application/pdf","application/pdf","application/pdf","application/pdf"
"office-examples/LibreOffice%203.5.0rc3%20OSX/simple.pdf.md","text/plain","text/plain","text/plain","text/plain"
"office-examples/Old%20Access/MS%20Access%20Format%20metadata%20template.csv","text/csv","text/plain","text/csv","text/plain"
"office-examples/Old%20Access/reviews.mdb","application/x-msaccess","application/x-msaccess","application/x-msaccess","application/x-msaccess"
"office-examples/Old%20Access/Reviews.xls","application/vnd.ms-excel","application/vnd.ms-excel","application/vnd.ms-excel","application/vnd.ms-excel"
"office-examples/Old%20Word%20file/MS%20Word%205%20Format%20metadata%20template.csv","text/csv","text/plain","text/csv","text/plain"
"office-examples/Old%20Word%20file/NEWSSLID.DOC","application/msword","application/octet-stream","application/msword","application/octet-stream"
"office-examples/OpenOffice.org%203.2.0%20OSX/embeds/embedded-lucinda-sans-PDFA-1a.pdf","application/pdf","application/pdf","application/pdf","application/pdf"
"office-examples/OpenOffice.org%203.2.0%20OSX/embeds/embedded-lucinda-sans.odt","application/vnd.oasis.opendocument.text","application/vnd.oasis.opendocument.text","application/vnd.oasis.opendocument.text","application/vnd.oasis.opendocument.text"
"office-examples/OpenOffice.org%203.2.0%20OSX/embeds/embedded-lucinda-sans.pdf","application/pdf","application/pdf","application/pdf","application/pdf"
"office-examples/OpenOffice.org%203.2.0%20OSX/embeds/embedded-png.odt","application/vnd.oasis.opendocument.text","application/vnd.oasis.opendocument.text","application/vnd.oasis.opendocument.text","application/vnd.oasis.opendocument.text"
"office-examples/OpenOffice.org%203.2.0%20OSX/embeds/embedded-png.pdf","application/pdf","application/pdf","application/pdf","application/pdf"
"office-examples/OpenOffice.org%203.2.0%20OSX/embeds/embedded-tiff.odt","application/vnd.oasis.opendocument.text","application/vnd.oasis.opendocument.text","application/vnd.oasis.opendocument.text","application/vnd.oasis.opendocument.text"
"office-examples/OpenOffice.org%203.2.0%20OSX/embeds/embedded-tiff.pdf","application/pdf","application/pdf","application/pdf","application/pdf"
"office-examples/OpenOffice.org%203.2.0%20OSX/pdf-features/simple-annotated-in-adobe-x.pdf","application/pdf","application/pdf","application/pdf","application/pdf"
"office-examples/OpenOffice.org%203.2.0%20OSX/pdf-features/simple-open-nocopy-password.pdf","application/pdf","application/pdf","application/pdf","application/pdf"
"office-examples/OpenOffice.org%203.2.0%20OSX/pdf-features/simple-open-nocopy-password.pdf.jhove.xml","application/xml","application/xml","application/xml","application/xml"
"office-examples/OpenOffice.org%203.2.0%20OSX/pdf-features/simple-open-password.pdf","application/pdf","application/pdf","application/pdf","application/pdf"
"office-examples/OpenOffice.org%203.2.0%20OSX/pdf-features/simple-open-password.pdf.jhove.xml","application/xml","application/xml","application/xml","application/xml"
"office-examples/OpenOffice.org%203.2.0%20OSX/pdf-features/simple-password-copy.pdf","application/pdf","application/pdf","application/pdf","application/pdf"
"office-examples/OpenOffice.org%203.2.0%20OSX/pdf-features/simple-password-copy.pdf.jhove.xml","application/xml","text/plain","application/xml","text/plain"
"office-examples/OpenOffice.org%203.2.0%20OSX/pdf-features/simple-password-nocopy.pdf","application/pdf","application/pdf","application/pdf","application/pdf"
"office-examples/OpenOffice.org%203.2.0%20OSX/pdf-features/simple-password-nocopy.pdf.jhove.xml","application/xml","application/xml","application/xml","application/xml"
"office-examples/OpenOffice.org%203.2.0%20OSX/pdf-features/simple-PDFA-1a.pdf","application/pdf","application/pdf","application/pdf","application/pdf"
"office-examples/OpenOffice.org%203.2.0%20OSX/pdf-features/simple.odt","application/vnd.oasis.opendocument.text","application/vnd.oasis.opendocument.text","application/vnd.oasis.opendocument.text","application/vnd.oasis.opendocument.text"
"office-examples/OpenOffice.org%203.2.0%20OSX/pdf-features/simple.pdf","application/pdf","application/pdf","application/pdf","application/pdf"
"office-examples/OpenOffice.org%203.2.0%20OSX/pdf-features/simple.pdf.jhove.xml","application/xml","application/xml","application/xml","application/xml"
"office-examples/OpenOffice.org%203.2.0%20OSX/pdf-features/simple.xhtml","application/xhtml+xml","application/xhtml+xml","application/xhtml+xml","application/xhtml+xml"
"office-examples/OpenOffice.org%203.2.0%20OSX/README.md","text/plain","text/plain","text/plain","text/plain"
"office-examples/OpenOffice.org%203.3.0%20OSX/application-manifest.sha1","text/plain","text/plain","text/plain","text/plain"
"office-examples/OpenOffice.org%203.3.0%20OSX/application-manifest.sha1.cmd","text/plain","text/plain","text/plain","text/plain"
"office-examples/OpenOffice.org%203.3.0%20OSX/application-manifest.txt","text/plain","text/plain","text/plain","text/plain"
"office-examples/OpenOffice.org%203.3.0%20OSX/application-manifest.txt.cmd","text/plain","text/plain","text/plain","text/plain"
"office-examples/OpenOffice.org%203.3.0%20OSX/index.md","text/plain","text/plain","text/plain","text/plain"
"office-examples/OpenOffice.org%203.3.0%20OSX/pdf-features/simple.odt","application/vnd.oasis.opendocument.text","application/vnd.oasis.opendocument.text","application/vnd.oasis.opendocument.text","application/vnd.oasis.opendocument.text"
"office-examples/OpenOffice.org%203.3.0%20OSX/pdf-features/simple.odt.md","text/plain","text/plain","text/plain","text/plain"
"office-examples/OpenOffice.org%203.3.0%20OSX/pdf-features/simple.pdf","application/pdf","application/pdf","application/pdf","application/pdf"
"office-examples/OpenOffice.org%203.3.0%20OSX/pdf-features/simple.pdf.md","text/plain","text/plain","text/plain","text/plain"
"office-examples/powerpoint4-mac/ecdl%20paris.ppt","application/vnd.ms-powerpoint","application/x-tika-msoffice","application/vnd.ms-powerpoint","application/x-tika-msoffice"
"office-examples/powerpoint4-mac/ecdl+paris2001.ppt","application/vnd.ms-powerpoint","application/x-tika-msoffice","application/vnd.ms-powerpoint","application/x-tika-msoffice"
"office-examples/powerpoint4-mac/file.txt","text/plain","text/plain","text/plain","text/plain"
"office-examples/powerpoint4-mac/README.md","text/plain","text/plain","text/plain","text/plain"
"office-examples/powerpoint4-mac/unc-%20oxford.ppt","application/msword","application/msword","application/msword","application/msword"
"office-examples/powerpoint4-mac/unc-+oxford2001.ppt","application/vnd.ms-powerpoint","application/x-tika-msoffice","application/vnd.ms-powerpoint","application/x-tika-msoffice"
"office-examples/README.md","text/plain","text/plain","text/plain","text/plain"
"pcraster/AREA2.MAP","application/octet-stream","application/octet-stream","application/octet-stream","application/octet-stream"
"pcraster/BODEM.MAP","application/octet-stream","application/octet-stream","application/octet-stream","application/octet-stream"
"pcraster/HOOGTE2.MAP","application/octet-stream","application/octet-stream","application/octet-stream","application/octet-stream"
"pcraster/LAITRUNC.MAP","application/octet-stream","application/octet-stream","application/octet-stream","application/octet-stream"
"pcraster/LAND.MAP","application/octet-stream","application/octet-stream","application/octet-stream","application/octet-stream"
"pcraster/readme.md","text/plain","text/plain","text/plain","text/plain"
"plain-text/lorem-ipsum.txt","text/plain","text/plain","text/plain","text/plain"
"plain-text/README.md","text/plain","text/plain","text/plain","text/plain"
